# schema_version=2 n_features=27 generator=rpx_benchmark.data.esd
scene_id,phase,n_frames_total,n_frames_used,iter_mean,iter_max,obj_mean,obj_std,obj_consist,occ_mean,occ_p90,occ_heavy,depth_invalid,depth_invalid_mask,depth_std,depth_std_mask,specular,dark,area_cv,area_drop,vis_instability,trans_mean,trans_p90,rot_mean,rot_p90,jerk,fisheye_dark,fisheye_bright,fisheye_sharpness,fisheye_corr,fisheye_texture
scene1.library.fountain,0,250,250,2.628,5.0,6.964,0.3266557821315888,0.988,0.648083508014679,0.9408645629882812,0.7142857142857143,0.0038988932291666666,0.04395397097260797,0.6451498783826828,0.0892568127810955,0.0033468619791666666,4.687499999999999e-07,0.19601828005350955,0.0051428571428571435,0.010285714285714287,0.02262031273636691,0.030249995240345252,0.028960964982600923,0.04346230795284811,0.006332488993363754,0.3560019162735849,0.05000542452830189,785.4530788574219,0.7699476036446767,7.97835779953003
scene1.library.fountain,1,250,250,1.676,4.0,6.844,0.6720595211735341,0.948,0.2546353042125702,0.34966227412223816,0.5714285714285714,0.006107565104166666,0.009370110669752801,1.183457437157631,0.1766144395470619,0.0004956640625,0.00010563802083333334,0.24972072062030917,0.010857142857142859,0.01942857142857143,0.02107195680539328,0.037437750041410166,0.01684241356282227,0.02804642988497808,0.007466210037860457,0.36744159787735853,0.051833207547169816,949.7444230957032,0.7932223103394909,8.222803932189942
scene1.library.fountain,2,250,250,1.464,4.0,7.0,0.0,1.0,0.10687359422445297,0.27132195234298706,0.14285714285714285,0.001641861979166667,0.002986173660044277,0.8942630659341813,0.20055702394247055,0.00010203125,6.2890625e-06,0.26275956973628517,0.0,0.0,0.02790639681521122,0.044574848861310155,0.026099961328003907,0.04012794077798836,0.00924921929491971,0.3619051591981132,0.05532359080188679,797.169935546875,0.8076581735405468,7.619469083786011
scene10.ecsn.4f.sofa,0,250,250,1.328,4.0,7.0,0.0,1.0,0.2534193992614746,0.4117923080921173,0.2857142857142857,0.06909942708333335,0.011567304795175854,2.3383716121912004,0.12064956623315812,0.0059086328125,0.0003386458333333334,0.34887111727004416,0.001142857142857143,0.0,0.02557910128333784,0.031405538195901854,0.027448340344693616,0.036864319516322824,0.004061305912465126,0.29734772995283015,0.05092060141509434,284.18159991455076,0.8354980355491511,4.2432752027511595
scene10.ecsn.4f.sofa,1,250,250,1.62,4.0,6.984,0.125475097130865,0.984,0.18755868077278137,0.3063002824783325,0.14285714285714285,0.07455921875000002,0.00641652676718885,5.60165425491333,0.24089683628082276,0.00391890625,0.0010765885416666667,0.45031407441451315,0.006285714285714285,0.002285714285714286,0.018675689687154592,0.022714035090113747,0.016397169353213392,0.022904417294583434,0.003362063154183047,0.30608580188679246,0.03912585495283019,237.45635607910157,0.8151056920987694,3.998386788368225
scene10.ecsn.4f.sofa,2,250,250,1.0,1.0,7.0,0.0,1.0,0.04174485057592392,0.06631474196910858,0.0,0.09230096354166666,0.002290771386115683,5.8842346079349515,0.25535956275463106,0.005030455729166667,0.0008826692708333334,0.401802034422139,0.0,0.0,0.028472996006445445,0.03448832614663899,0.02525184305205239,0.03476284861993139,0.005328669812164833,0.3017089799528302,0.052730400943396226,284.333274597168,0.8336796646444996,4.1870711278915405
scene100.jsom.rocks,0,250,250,1.068,2.0,8.0,0.0,1.0,0.47494828701019287,0.8938962817192078,0.5,0.0020952994791666665,0.002088323668734075,0.24649459370970725,0.07361216340959072,3.502604166666666e-06,2.12890625e-05,0.2882095557640061,0.0,0.0,0.04949116100619803,0.09079448025426151,0.02981531438896601,0.0460272718134466,0.022473160251527312,0.331107258254717,0.030997930424528298,386.06626110839846,0.8476182409020567,5.3096434688568115
scene100.jsom.rocks,1,250,250,1.44,3.0,7.952,0.2137662274541982,0.952,0.2791047692298889,0.590507984161377,0.375,0.006062395833333334,0.003411188699728347,0.4141442065238953,0.16059354239702225,9.3359375e-06,0.00023385416666666666,0.3507306441382443,0.005,0.002,0.014701419783942977,0.026318306316558297,0.015589062884870403,0.02849194518319179,0.0051158917585511846,0.31606206957547167,0.05091854363207547,392.6079953613281,0.8784883029538246,4.970932651519775
scene100.jsom.rocks,2,250,250,1.656,3.0,8.0,0.0,1.0,0.02424551360309124,0.08880892395973206,0.0,0.006055690104166666,0.0026698438061499258,0.41173545688390734,0.20782044291496277,1.0195312500000001e-05,0.00015555989583333334,0.3263073080790774,0.001,0.0,0.025186153692157456,0.03406185854795564,0.02581605606287067,0.03908965722911014,0.006088377795035523,0.3207090742924528,0.05075061910377359,365.07712451171875,0.9004539676717895,4.793051351547241
scene11.ecss.4f.sofa,0,250,250,1.0,1.0,7.0,0.0,1.0,0.14702510833740234,0.2284158319234848,0.0,0.0169241796875,0.0001773971941156671,0.8935247462391853,0.13333855286240578,0.001351640625,0.0003806119791666667,0.2427252391762814,0.0,0.0,0.026815940655298427,0.03582510781046418,0.027274706923849406,0.03667692424404788,0.0041809528127678365,0.32319668632075466,0.054578944575471695,202.179850189209,0.9230987921045899,3.1001700983047487
scene11.ecss.4f.sofa,1,250,250,1.0,1.0,7.0,0.0,1.0,0.08115792274475098,0.15303932130336761,0.0,0.02004,0.0015790843324432057,0.7671248452663422,0.17450539609789847,0.0026986588541666663,0.000835078125,0.3149204184017544,0.0017142857142857144,0.0,0.02156581135698244,0.028115441120675322,0.020834933138084977,0.028198856189189582,0.004560253707329181,0.332096804245283,0.053018720518867926,179.08484930419922,0.9044354758861975,3.1458216123580933
scene11.ecss.4f.sofa,2,250,250,1.0,1.0,7.0,0.0,1.0,0.027015579864382744,0.054157134145498276,0.0,0.02523942708333333,0.00020118036312991955,1.15473526096344,0.18518923181295394,0.0012351432291666665,9.296875e-05,0.30442668791725175,0.0,0.0,0.02769790156576999,0.0384426098482933,0.025630158073033912,0.035767980970285176,0.00427359638102412,0.32188941037735846,0.048573803066037737,186.53873928833008,0.923966085160662,3.048630808830261
