# schema_version=2 primary=mean_pn feature_set=v1.0 generator=rpx_benchmark.data.esd_scoring
scene_id,phase,n_frames_used,score_mean_pn,score_median_pn,score_max_pn,percentile_mean_pn,percentile_median_pn,percentile_max_pn,tier_mean_pn,tier_median_pn,tier_max_pn,score,percentile,tier,consensus_tier,confidence,weight_flip_rate,cat_annotation_effort,cat_scene_complexity,cat_occlusion,cat_depth_quality,cat_photometric_conflict,cat_temporal_stability,cat_camera_motion,cat_fisheye_stereo
scene1.library.fountain,0,250,0.6781083333333332,0.81,0.9983333333333333,0.9866666666666667,0.9966666666666667,0.9233333333333333,hard,hard,hard,0.6781083333333332,0.9866666666666667,hard,hard,medium,0.188,0.9708333333333333,0.4811111111111111,0.9533333333333335,0.29583333333333334,0.32,0.6111111111111112,0.716,0.5946666666666667
scene1.library.fountain,1,250,0.62565,0.5466666666666666,1.0,0.9,0.59,0.94,hard,medium,hard,0.62565,0.9,hard,hard,medium,0.363,0.87,0.41,0.7561111111111112,0.4083333333333333,0.32333333333333336,0.7066666666666667,0.5113333333333333,0.63
scene1.library.fountain,2,250,0.59195,0.5733333333333334,0.9866666666666667,0.7733333333333333,0.6533333333333333,0.7266666666666667,hard,medium,hard,0.59195,0.7733333333333333,hard,hard,low,0.527,0.8200000000000001,0.5722222222222223,0.5272222222222221,0.3358333333333333,0.11333333333333334,0.2477777777777778,0.8306666666666667,0.6266666666666667
scene10.ecsn.4f.sofa,0,250,0.5944416666666666,0.5966666666666667,0.98,0.79,0.7366666666666667,0.64,hard,hard,medium,0.5944416666666666,0.79,hard,hard,medium,0.447,0.7691666666666667,0.5722222222222223,0.725,0.625,0.7233333333333334,0.48333333333333334,0.5719999999999998,0.25133333333333335
scene10.ecsn.4f.sofa,1,250,0.5763,0.5916666666666667,0.99,0.7366666666666667,0.7033333333333334,0.76,hard,hard,hard,0.5763,0.7366666666666667,hard,hard,medium,0.482,0.855,0.4266666666666667,0.6105555555555555,0.8225,0.7433333333333334,0.8533333333333334,0.14733333333333334,0.18
scene10.ecsn.4f.sofa,2,250,0.4213333333333333,0.41333333333333333,1.0,0.23333333333333334,0.32,0.9433333333333334,easy,easy,hard,0.4213333333333333,0.23333333333333334,easy,easy,medium,0.464,0.16333333333333333,0.5722222222222223,0.20555555555555557,0.7825,0.7683333333333333,0.43222222222222223,0.6180000000000001,0.2593333333333333
scene100.jsom.rocks,0,250,0.5019666666666667,0.44,0.9983333333333333,0.49,0.38333333333333336,0.9266666666666666,medium,medium,hard,0.5019666666666667,0.49,medium,medium,low,0.517,0.42166666666666663,0.6672222222222222,0.898888888888889,0.0825,0.12666666666666665,0.27999999999999997,0.97,0.4493333333333333
scene100.jsom.rocks,1,250,0.52975,0.54,0.9933333333333333,0.5666666666666667,0.5766666666666667,0.8133333333333334,medium,medium,hard,0.52975,0.5666666666666667,medium,medium,medium,0.404,0.685,0.66,0.7922222222222222,0.25666666666666665,0.3016666666666667,0.7266666666666666,0.24133333333333334,0.5153333333333333
scene100.jsom.rocks,2,250,0.5383583333333333,0.52,0.9983333333333333,0.6,0.54,0.93,medium,medium,hard,0.5383583333333333,0.6,medium,medium,medium,0.349,0.7358333333333333,0.6672222222222222,0.19777777777777775,0.33416666666666667,0.27,0.43166666666666664,0.6753333333333333,0.534
scene11.ecss.4f.sofa,0,250,0.3655333333333333,0.39666666666666667,0.9733333333333334,0.09333333333333334,0.27666666666666667,0.5666666666666667,easy,easy,medium,0.3655333333333333,0.09333333333333334,easy,easy,medium,0.162,0.16333333333333333,0.5722222222222223,0.4222222222222222,0.265,0.5233333333333333,0.2233333333333333,0.6326666666666666,0.38
scene11.ecss.4f.sofa,1,250,0.3509333333333333,0.36666666666666664,0.8666666666666667,0.06,0.2,0.08666666666666667,easy,easy,easy,0.3509333333333333,0.06,easy,easy,high,0.053,0.16333333333333333,0.5722222222222223,0.30777777777777776,0.35416666666666663,0.6416666666666666,0.4566666666666666,0.3446666666666666,0.38066666666666665
