scene_id,scene_type,view,capture_id,frame_idx,frame_filename,split,has_rgb,has_depth,has_fisheye,has_cam_pose,has_masks,has_masks_aux,has_sam2_meta,shard_rgb,shard_depth,shard_fisheye,shard_cam_pose,shard_masks,shard_masks_aux,shard_sam2_meta
scene002,multi_object_ego,ego,ego,0,00000.png,ego,True,True,True,True,True,True,True,scenes/scene002/ego/rgb.tar,scenes/scene002/ego/depth.tar,scenes/scene002/ego/fisheye.tar,scenes/scene002/ego/labels/cam_pose/v1.tar,scenes/scene002/ego/labels/masks/v1.tar,scenes/scene002/ego/labels/masks_aux/v1.tar,scenes/scene002/ego/labels/sam2_meta/v1.tar
scene002,multi_object_ego,ego,ego,1,00001.png,ego,True,True,True,True,True,True,True,scenes/scene002/ego/rgb.tar,scenes/scene002/ego/depth.tar,scenes/scene002/ego/fisheye.tar,scenes/scene002/ego/labels/cam_pose/v1.tar,scenes/scene002/ego/labels/masks/v1.tar,scenes/scene002/ego/labels/masks_aux/v1.tar,scenes/scene002/ego/labels/sam2_meta/v1.tar
scene002,multi_object_ego,ego,ego,2,00002.png,ego,True,True,True,True,True,True,True,scenes/scene002/ego/rgb.tar,scenes/scene002/ego/depth.tar,scenes/scene002/ego/fisheye.tar,scenes/scene002/ego/labels/cam_pose/v1.tar,scenes/scene002/ego/labels/masks/v1.tar,scenes/scene002/ego/labels/masks_aux/v1.tar,scenes/scene002/ego/labels/sam2_meta/v1.tar
scene002,multi_object_ego,ego,ego,3,00003.png,ego,True,True,True,True,True,True,True,scenes/scene002/ego/rgb.tar,scenes/scene002/ego/depth.tar,scenes/scene002/ego/fisheye.tar,scenes/scene002/ego/labels/cam_pose/v1.tar,scenes/scene002/ego/labels/masks/v1.tar,scenes/scene002/ego/labels/masks_aux/v1.tar,scenes/scene002/ego/labels/sam2_meta/v1.tar
scene002,multi_object_ego,ego,ego,4,00004.png,ego,True,True,True,True,True,True,True,scenes/scene002/ego/rgb.tar,scenes/scene002/ego/depth.tar,scenes/scene002/ego/fisheye.tar,scenes/scene002/ego/labels/cam_pose/v1.tar,scenes/scene002/ego/labels/masks/v1.tar,scenes/scene002/ego/labels/masks_aux/v1.tar,scenes/scene002/ego/labels/sam2_meta/v1.tar
scene002,multi_object_ego,ego,ego,5,00005.png,ego,True,True,True,True,True,True,True,scenes/scene002/ego/rgb.tar,scenes/scene002/ego/depth.tar,scenes/scene002/ego/fisheye.tar,scenes/scene002/ego/labels/cam_pose/v1.tar,scenes/scene002/ego/labels/masks/v1.tar,scenes/scene002/ego/labels/masks_aux/v1.tar,scenes/scene002/ego/labels/sam2_meta/v1.tar
scene002,multi_object_ego,ego,ego,6,00006.png,ego,True,True,True,True,True,True,True,scenes/scene002/ego/rgb.tar,scenes/scene002/ego/depth.tar,scenes/scene002/ego/fisheye.tar,scenes/scene002/ego/labels/cam_pose/v1.tar,scenes/scene002/ego/labels/masks/v1.tar,scenes/scene002/ego/labels/masks_aux/v1.tar,scenes/scene002/ego/labels/sam2_meta/v1.tar
scene002,multi_object_ego,ego,ego,7,00007.png,ego,True,True,True,True,True,True,True,scenes/scene002/ego/rgb.tar,scenes/scene002/ego/depth.tar,scenes/scene002/ego/fisheye.tar,scenes/scene002/ego/labels/cam_pose/v1.tar,scenes/scene002/ego/labels/masks/v1.tar,scenes/scene002/ego/labels/masks_aux/v1.tar,scenes/scene002/ego/labels/sam2_meta/v1.tar
scene002,multi_object_ego,ego,ego,8,00008.png,ego,True,True,True,True,True,True,True,scenes/scene002/ego/rgb.tar,scenes/scene002/ego/depth.tar,scenes/scene002/ego/fisheye.tar,scenes/scene002/ego/labels/cam_pose/v1.tar,scenes/scene002/ego/labels/masks/v1.tar,scenes/scene002/ego/labels/masks_aux/v1.tar,scenes/scene002/ego/labels/sam2_meta/v1.tar
scene002,multi_object_ego,ego,ego,9,00009.png,ego,True,True,True,True,True,True,True,scenes/scene002/ego/rgb.tar,scenes/scene002/ego/depth.tar,scenes/scene002/ego/fisheye.tar,scenes/scene002/ego/labels/cam_pose/v1.tar,scenes/scene002/ego/labels/masks/v1.tar,scenes/scene002/ego/labels/masks_aux/v1.tar,scenes/scene002/ego/labels/sam2_meta/v1.tar
